facility_or_program_type,agency,report_date,date,series,exits,category,housing_category
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,08_2023,2023-08-01,families_with_children,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,08_2023,2023-08-01,adult_families,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,08_2023,2023-08-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,08_2023,2023-08-01,families_with_children,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,08_2023,2023-08-01,adult_families,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,08_2023,2023-08-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,08_2023,2023-08-01,families_with_children,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,08_2023,2023-08-01,adult_families,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,08_2023,2023-08-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing
Housing of friends or family,DYCD,08_2023,2023-08-01,families_with_children,NA,Family or friends,Permanent Housing
Housing of friends or family,DYCD,08_2023,2023-08-01,adult_families,0,Family or friends,Permanent Housing
Housing of friends or family,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,0,Family or friends,Permanent Housing
Housing of friends or family,DYCD,08_2023,2023-08-01,total_single_adults,25,Family or friends,Permanent Housing
Moved back to vacated building,DYCD,08_2023,2023-08-01,families_with_children,NA,Other,Other
Moved back to vacated building,DYCD,08_2023,2023-08-01,adult_families,NA,Other,Other
Moved back to vacated building,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Other,Other
Moved back to vacated building,DYCD,08_2023,2023-08-01,total_single_adults,NA,Other,Other
Other affordable housing- 421-a affordable housing,DYCD,08_2023,2023-08-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- 421-a affordable housing,DYCD,08_2023,2023-08-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- 421-a affordable housing,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- 421-a affordable housing,DYCD,08_2023,2023-08-01,total_single_adults,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,DYCD,08_2023,2023-08-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,DYCD,08_2023,2023-08-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,DYCD,08_2023,2023-08-01,total_single_adults,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,DYCD,08_2023,2023-08-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,DYCD,08_2023,2023-08-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,DYCD,08_2023,2023-08-01,total_single_adults,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,DYCD,08_2023,2023-08-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,DYCD,08_2023,2023-08-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,DYCD,08_2023,2023-08-01,total_single_adults,NA,Affordable housing,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Rapid re-housing funded by the United States department of housing and urban development,DYCD,08_2023,2023-08-01,families_with_children,NA,Rapid re-housing,Other
Rapid re-housing funded by the United States department of housing and urban development,DYCD,08_2023,2023-08-01,adult_families,0,Rapid re-housing,Other
Rapid re-housing funded by the United States department of housing and urban development,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,0,Rapid re-housing,Other
Rapid re-housing funded by the United States department of housing and urban development,DYCD,08_2023,2023-08-01,total_single_adults,0,Rapid re-housing,Other
Residential drug treatment and detoxification,DYCD,08_2023,2023-08-01,families_with_children,NA,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,DYCD,08_2023,2023-08-01,adult_families,NA,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,DYCD,08_2023,2023-08-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
Section 8 voucher housing- HPD- project-based,DYCD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- project-based,DYCD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- project-based,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- project-based,DYCD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,DYCD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,DYCD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,DYCD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,DYCD,08_2023,2023-08-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,DYCD,08_2023,2023-08-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,DYCD,08_2023,2023-08-01,total_single_adults,NA,Voucher,Permanent Housing
Settings with higher levels of medical care- inpatient hospitalization,DYCD,08_2023,2023-08-01,families_with_children,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- inpatient hospitalization,DYCD,08_2023,2023-08-01,adult_families,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- inpatient hospitalization,DYCD,08_2023,2023-08-01,runaway_and_homeless_youth,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- inpatient hospitalization,DYCD,08_2023,2023-08-01,total_single_adults,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- long-term care facilities,DYCD,08_2023,2023-08-01,families_with_children,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- long-term care facilities,DYCD,08_2023,2023-08-01,adult_families,NA,Medical care or rehabilitation facility,Other
